claim_id,claim,status,location,dependencies,script,external_data,supersedes,canonical_status,active
EM.BUDGET.01,"EM budget M=41 is FORCED = 10 b1 = sum L + N_Phi (U(1) index, not a free fit); (4/5)M c3^6 = 8 b1 c3^6",Lattice,tfpt_1;tfpt_2,CAR.SM.01 (b1 from g_car),v13_open_gates.py,-,,Lattice,true
FLAV.R.01,residue matrix R: det=8; minors {2;3;5}; char poly; SNF diag(1;1;8) (positive invariant factors); ||R||^2=78; sum L=40,Lattice,tfpt_1;tfpt_2;tfpt_3,-,v4_flavor_matrix.py,-,,Lattice,true
FLAV.KQ.01,Q-Sigma algebra: K=R+Q*Sigma; L=R+Q*(I+Sigma); chi_Q=(t-1)(t^2-5t+3); chi_K=(t-1)(t^2-8t+4); det ladder (3;4;8;20) product 1920=|W(D5)|; a^T K a=41,Lattice,tfpt_2,FLAV.R.01; Sigma=diag(1;-1;-1),v10_projection_involution.py;v11_unique_KQ.py;v12_mass_generation_polynomials.py,-,,Lattice,true
FLAV.QGEO.01,geometric origin of Q reduced: Q_+ = A3 exponent grading (spec 1;2;3); Q_-^2 = N_fam on support; open = realise Q_+/Q_- on parabolic P1\mu4,Physical (conditional; sharpened),tfpt_2,FLAV.KQ.01; parabolic Hodge on P1\mu4,v13_open_gates.py,-,,Physical (conditional; sharpened),true
FLAV.H2.01,H2 splitting type 4=1+1+2; coker R = Z8 (branch fixed),Lattice,tfpt_2,FLAV.R.01; Mehta-Seshadri (U),v4_flavor_matrix.py,-,,Lattice,true
FLAV.TH12.01,solar angle sin^2 th12 = 1/3 - phi0/2 = 0.30675 via explicit mu-tau texture,Numerical,tfpt_3;tfpt_2,FLAV.R.01; eps=3phi0/4 (~c3 conditional),v9_neutrino_texture.py,NuFIT 6.0 (0.307),,Numerical,true
FLAV.SOLAR.01,"dual anchor a^T R^-1 = a^T L^-1 = (-1/2,-1/2,1) exact; eps=(N_fam/|mu4|)phi0=3/4 phi0 = c3 + 36 c3^4 (leading term c3, fourth-order puncture correction exact); full PMNS readout",Numerical,tfpt_2,FLAV.R.01; dual-anchor identity,v16_solar_dual_anchor.py,NuFIT 6.0 (pre-JUNO baseline),,Numerical,true
FLAV.RESOLV.01,finite hexagonal resolvent D_y^-1 = (sum y^{5-m} delta^m U6^m)/(y^6-delta^6) proven; quark c-digits need U_f* holonomy (open finite step),Lattice,tfpt_2,C6 transport kernel,v17_hexagonal_resolvent.py,-,,Lattice,true
FLAV.QUARK.01,"charged-fermion Yukawas y=lambda_Y^L*Lambda reproduce quark source ratios exactly (mu/md=0.470085, mc/ms=13.61, mt/mb=40.80), lepton c=(16/7,4/3,7/6) to Lambda rounding, full hierarchy; exact quark c rationals need U_f* holonomy",Numerical,tfpt_2,FLAV.RESOLV.01; word-lengths; Lambda table,v18_quark_yukawa.py,"PDG/NuFIT (mu/md~0.47, mc/ms~13.6)",,Numerical,true
FLAV.UFSTAR.01,"exact pole delta_ph=z_*^(1/6), z_*=(794-7sqrt9961)/2187 (2187=3^7); bare resolvent fails lepton ratios 3-11x (holonomy essential); required Lambda=(0.475,1.107,0.917), Lambda_mu>1 => non-unitary resolvent dressing; D4-symmetric SU(3) monodromy constructible but D4-fixed locus POSITIVE-DIMENSIONAL => exact quark c reduce to the (U) stable-point selection",Numerical,tfpt_2,H2 monodromy; Mehta-Seshadri; (U),v19_monodromy_moduli.py,-,,Numerical,true
FLAV.LEPTONC.01,"lepton c's DERIVED: non-anchor c=|mu4|^w/(5/4-cos(r pi/3)) at delta=1/2,y=1 gives c_e=16/7,c_mu=4/3 exactly; anchor from product rule prod c=2^gcar/Nfam^2=32/9 gives c_tau=7/6; reproduces (8/7,12/7,3/2) ratios. Lepton-specific: down sector forces c_d/c_s=4 vs actual 0.94 (quarks structurally different)",Identity,tfpt_2,"delta=1/2 (distinguished); hexagon resolvent; g_car,N_fam,mu4",v20_lepton_c_derivation.py,PDG lepton ratios,,Identity,true
FLAV.SOLAR.02,"solar coefficient is the A3 glue-norm: eps=q(A3)*phi0=(3/4)phi0, q(A3)=3/4 the same norm in q(D5)+q(A3)=2; leading term = c3 exact; sin^2 th12=1/3-phi0/2=0.30675. Product rule 32/9=2^gcar/Nfam^2 interpreted (full Clifford dim/Nfam^2); sum L_lepton=16=dim S+. Quark non-extension: cusp-leg law gives c_c/c_s=1/7 vs actual 0.724",Identity,tfpt_2,FLAV.SOLAR.01; FLAV.LEPTONC.01; E8 glue norms,v21_solar_product_quark.py,NuFIT 6.0,,Identity,true
ANCHOR.GEN.01,"anchor-first: a=(1,1,2) elementary symmetric e_k=(4,5,2)=(|mu4|,g_car,|Z2|), c3=1/(2 e1 pi)=1/(8pi); power sums p_n=2+2^n give |R(E8)|=p1p2p3=240, dim E8=248, rank=p4-p3=8, binary ladder 2^n. Inputs reduce {c3,g_car} -> {a,pi}",Identity,introduction;tfpt_1,"a=(1,1,2) parabolic anchor",v23_anchor_generator.py,-,,Identity,true
FLAV.QRATIO.01,"quark RATIO closure: c_u/c_d=g_car*11/(Nfam^2 DeltaQ)=55/117, c_c/c_s=p5(a)/(Oadm-1)=34/47, c_t/c_b=Nfam/(2 DeltaQ)=3/26; mass ratios 0.470085/13.605/40.81 match targets <0.03%; rational c gauge (1/2,117/110,47/41,34/41,8/3,4/13), Lambda_q in O(1). c_c/c_s and c_t/c_b have clean single-reading blocks; c_u/c_d '11' is NOT uniquely forced (>=5 readings) and 55/117=table ratio 0.440/0.936; the '11' reading is generated not assumed (v42)",Identity/Numerical,tfpt_2,FLAV.RESOLV.01; anchor p5=34; DeltaQ=13; Oadm=48,v24_quark_ratio_closure.py;v26_flavor_frontier_unification.py,"PDG/FLAG 2024 (mu/md,mc/ms,mt/mb)",,[I] ratios closed on the DERIVED selector stratum (v49/v69/v71); only the absolute amplitude scale U_point stays [A]; FORBIDDEN WORDING: do not write 'quark ratios stay [P]',true
FLAV.UGATE.01,"UNIFICATION: c_u/c_d '11', Q-geometry (B3), R mod (U) (B4), H2 parabolic<->transport (A2) all reduce to ONE gate = the (U) stable-point selection. SHARPENING: cusp weights put O(-2)+O(-1)^2 on the parabolic STABILITY WALL (sum w=4; w1<2 & w2,w3<1 unsatisfiable since w1=4-w2-w3>2) -> nabla_F* is the unique POLYSTABLE point (explains the positive-dim D4 locus of v19)",Open (sharpened to one wall-selection),tfpt_2,FLAV.UFSTAR.01; FLAV.QRATIO.01; GATE.QGEO.01; GATE.RU.01,v26_flavor_frontier_unification.py,-,,SUPERSEDED -> FLAV.RIGID.01/02: quark ratios [I] closed (v49/v71); only U_point (absolute amplitude normalisation) = anchor [A],false
GATE.UWALL.01,"(U_wall) explicit: balanced wall representative W_wall=(1/3)[[2,1,2,1],[1,0,0,2],[0,2,1,0]] (cols=perm(0,1,2), rows w=(2,1,1) lift degs (-2,-1,-1) to pardeg 0); selector nabla_F*=Sel_{D4,cusp,detR=8,Q+}(M_par); solving one D4-fixed polystable Hitchin point yields R,Q,U_f*,c_u/c_d,exact c_q,H2 together. HONEST (C_U1): 144 walls -> 5 orbits under full symmetry, so uniqueness needs the selector (U4), NOT symmetry (Lemma U1 corrected)",Open (one finite moduli point),tfpt_research_contracts;tfpt_2,FLAV.UGATE.01; Mehta-Seshadri; nonabelian Hodge,v27_wall_representative.py;v29_research_contract_certs.py,-,,SUPERSEDED -> FLAV.RIGID.02: ratios closed combinatorially (integer Plucker); only the absolute amplitude scale is the anchor,false
CONTRACT.U.01,"Research Contract 1 (U_wall): lemma chain U0-U6 + Theorem U; priority 1 (finite, algebraic, falsifiable via U2 kill switch). Certified: C_U^(1) wall enumeration (5 orbits); C_U^(2) FULL D4-fixed character variety is POSITIVE-DIMENSIONAL (reflection does not isolate the point); R(rho) characterized: CASE A ALIVE (all D4-fixed monodromies irreducible -> nontrivial mixing, U2 does not fire to B) and R(rho) is NOT algebraic (R integer, tr(M1M2) continuous) => R(rho) is the transcendental non-abelian-Hodge parabolic-degree map. C_U^(3) residual = the Hitchin/harmonic-metric solve (research-level)",Open (research contract),tfpt_research_contracts,GATE.UWALL.01,v29_research_contract_certs.py;v30_d4_character_variety.py;v31_R_dictionary.py;v32_rh_splitting.py,-,,"UPDATED -> FLAV.RIGID.01/02: contract ratio-side closed (v49/v71); residual = U_point absolute anchor (+ G_metric, separate gate)",false
RH.SPLIT.01,"RH route progress: exponent collapse sum_k U^k A0 U^-k = 4 diag(A0) exact (U=diag(1,i,-i)); integer-exponent options = perms of (2,1,1),(2,2,0); SPLITTING type made ALGEBRAIC: O(-2)+O(-1)^2 <=> diag(A0)=(1/2,1/4,1/4) (Schur-Horn realizable). Wall: product=I is path-ordered (not exp of sum) -> off-diag(A0) via RH solve; R-extraction needs C6<->P1mu4 bridge; c_u/c_d NOT obtained (no fabrication)",Numerical (partial; honest wall),tfpt_research_contracts,CONTRACT.U.01,v32_rh_splitting.py,-,,Numerical (partial; honest wall),true
RH.BUNDLE.01,"EXPLICIT valid (U_wall) flat bundle constructed via numerical RH solve: A0 (eig {0,1/3,2/3}, diag (1/2,1/4,1/4)) realises cusp class + splitting O(-2)+O(-1)^2 (SigmaA_k=diag(2,1,1)) + trivial infinity monodromy ||M_inf-I||~1e-9 (=> prod M_k=I) + IRREDUCIBLE (case A, nontrivial mixing). Existence + case A confirmed; unique nabla_F* needs det R=8; c_u/c_d needs H2 bridge",Numerical (explicit realisation),tfpt_research_contracts,RH.SPLIT.01; CONTRACT.U.01,v33_explicit_flat_bundle.py,-,,Numerical (explicit realisation),true
BOUNDARY.01,"the two gates are the discrete<->continuous HANDOFF, not missing formulas: quark cross-ratio cleanness tracks generation (t/b=3/26 clean err 3e-5; c/s fits 21/29 AND 34/47; u/d fits 8/17 AND 55/117 -> '11' not forced) = QCD/scheme-sensitivity boundary (FLAG). Compiler gives clean skeleton (K ladder, word-lengths, splitting, t/b); light-quark c's are QCD-dressed. Gravity same shape (R+R^2 clean; full measure = continuous completion)",Conceptual (verified),introduction;tfpt_4,FLAV.QRATIO.01; v35,v35_quark_qcd_boundary.py,FLAG 2024,,Conceptual (verified),true
H2.BRIDGE.01,"H2 bridge attempt: explicit per-puncture monodromies M_k computed (cusp class, prod M_k=I to 1e-5). HONEST NEGATIVE: |diag M_k|=(0,1/2,1/2), natural resolvent-dressed extraction h_j*g(1,r_j) does NOT reproduce lepton amplitudes (0.475,1.107,0.917). The Gamma^min geodesic-to-word dictionary (C6 hexagon <-> family rho*) is genuinely missing; R stays combinatorial (H1+det R=8); c_u/c_d NOT obtained, no fabrication",Numerical (honest negative),tfpt_research_contracts,RH.BUNDLE.01,v34_h2_bridge_attempt.py,-,,Numerical (honest negative),true
CONTRACT.G.01,"Research Contract 2 (G_metric): lemma chain G0-G8 + Theorem G; priority 2 (deep analytic programme). Certified: G5 gap-dominance 2||V||=0.785<Delta=2.433, Delta_eff>1.647",Open (research contract),tfpt_research_contracts,GATE.METRIC.01; GRAV.FR.01,v29_research_contract_certs.py;v28_gravity_fR.py,-,,Open (research contract),true
GRAV.FR.01,"R+R^2 covariant field equation CLOSED [I/P]: f(R)=R+R^2/(6M^2), M=c3^(7/2)Mbar=3.06e13 GeV=scalaron mass (m^2=1/(3 f_RR)=M^2); f(R) Einstein-side eq + 4D trace; N*=57 -> n_s=0.96491,r=0.00369,A_s=2.17e-9. Full metric measure OPEN [A] (G_metric); rel bound 248 c3^2=0.393<6log(3/2)=2.433",Identity/Physical (regime) + Open (full measure),tfpt_2;tfpt_4,QG.AMB.01; scalaron c3^7,v28_gravity_fR.py,"Planck 2018 (n_s,A_s)",,Identity/Physical (regime) + Open (full measure),true
FR.KOIDE.02,"CONJECTURE: Q_l source=0.66446; Q_source+phi0/|W(A3)|=Q_source+phi0/24=0.666679 overshoots 2/3 by 1.3e-5 (source->pole correction conjecture, |W(A3)|=24)",Physical (conjecture),tfpt_4,FR.KOIDE.01,v25_frontier_conjectures.py,PDG,,Physical (conjecture),true
FR.DM.02,"CONJECTURE: determinant-line axion f_a=M_scal/(2 dim S+ |mu4|)=M_scal/128~2.39e11 GeV -> m_a~23.8 ueV (cosmological scenario, not closed)",Physical (conjecture),tfpt_4,FR.DM.01; M_scal=c3^{7/2}Mbar,v25_frontier_conjectures.py,-,,Physical (conjecture),true
FLAV.CKM.01,CKM core s12=lambda_C; s23; s13; delta=pi/3+3lC^2,Numerical,tfpt_1;tfpt_2,seed phi0,-,PDG / HFLAV,,Numerical,true
CAS.01,cascade D_n=60-2n: endpoints; exponent rungs -> 240; IR tail 46080; variance 6552,Lattice,tfpt_3,-,v5_e8_cascade.py,-,,Lattice,true
BOOT.01,bootstrap mu^2-5mu+4=0; g_car=5 three ways; 8=rankE8=h(D5)=phi(30),Lattice,tfpt_3,-,v6_bootstrap.py,-,,Lattice,true
GRAV.SCAL.01,scalaron exponent 7; M_scal^2/Mbar^2 = c3^7 (3.06e13 GeV),Numerical,tfpt_1;tfpt_2,AX.P1.01,v7_gravity_cosmo.py,-,,Numerical,true
COSMO.LAM.01,rho_Lambda/Mbar^4 = (3/4pi^2) e^{-2 a^-1} = 7.125e-121 (dark-energy scale 2.2375 meV),Numerical,tfpt_1,EM.FP.01,v7_gravity_cosmo.py,Planck (rho_L^1/4 ~ 2.24 meV),,Numerical,true
COSMO.INF.01,Starobinsky A_s; n_s=1-2/N*; r=12/N*^2,Numerical,tfpt_1;tfpt_2,GRAV.SCAL.01,v7_gravity_cosmo.py,Planck; BICEP/Keck BK18; CMB-S4,,Numerical,true
COSMO.OMB.01,Omega_b = (1-1/4pi) phi0 = 0.04894,Numerical,tfpt_1;tfpt_3,AX.P1.01; phi0,v7_gravity_cosmo.py,Planck (0.04897),,Numerical,true
HOR.01,horizon unit code: 1/(2pi)=4c3; 1920=|W(D5)|; S_dS; Page; beta_rad,Physical (reframe; not new physics),AppendixH,AX.P1.01,v8_horizon.py,standard horizon physics,,Physical (reframe; not new physics),true
SM.RG.01,dimensionful EW/QCD masses (m_W; m_Z; m_H; sin^2 thetaW; alpha_s),Physical (scheme/RG),tfpt_2,RG threshold matching,-,PDG,,Physical (scheme/RG),true
SM.QFT.01,admissible-sector QFT measure (gap 6 log 3/2; RP from cusp; OS),Numerical/Conditional,tfpt_2,reflection positivity,-,-,,Numerical/Conditional,true
QG.AMB.01,"DECOUPLED GENERAL QG PROBLEM, NOT a TFPT-specific gate (reclassified 2026-06-22, v335): the ambient/metric-sector measure IS the general Euclidean-QG conformal-factor problem (Gibbons-Hawking-Perry 1978), inherited not TFPT-specific. TFPT is rigorously GAP-DECOUPLED from it: margin Delta - 31/(4 pi^2) = 6 ln(3/2) - 31/(4 pi^2) ~ 1.648 > 0 (v76/v311/v330/v332/v335), so NO TFPT prediction depends on the ambient measure. The conformal-mode obstruction is characterized (v332) and conditionally resolved by GHP rotation + IDG (v334); its construction is a separate QG programme (Picard-Lefschetz + IDG). Reclassified from 'TFPT structural frontier' to 'inherited, decoupled general QG problem' -- it is no longer counted among TFPT's open structural items.",Open (decoupled general QG; non-TFPT),tfpt_4 (status source); tfpt_2 conditional reduction,QGAMB.METRIC.01; QGAMB.CONFORMAL.01; v76; v330; v332; v334; v335,-,-,,Open (decoupled general QG; non-TFPT),true
FR.ETAB.01,baryon asymmetry eta_B = 6.1e-10 (downstream of Omega_b),Physical (conditional),tfpt_4,COSMO.OMB.01,-,Planck,,Physical (conditional),true
FR.MPME.01,proton/electron ratio m_p/m_e (cross-sector QCD),Open,tfpt_4,QCD confinement,-,CODATA (1836.15),,Open,true
FR.KOIDE.01,Koide Q = 0.664 (near 2/3; not exact),Physical (near-miss),tfpt_4,-,-,PDG lepton masses,,Physical (near-miss),true
FR.DM.01,dark matter: axion candidate fixed; relic scale (f_a; m_a) open,Open (relic scale),tfpt_4,strong-CP determinant-line,-,-,,Open (relic scale),true
GATE.QGEO.01,"RESIDUAL GATE (5.0 review, B3): geometric origin of Q -- Q_+ spectrum {1,2,3}=A3 exponents and Q_-^2|supp=N_fam algebraically forced; deriving Q_+/Q_- from D4-equivariant parabolic geometry on P1\mu4 is open; do NOT promote",Open,tfpt_2,FLAV.QGEO.01; FLAV.UFSTAR.01,v13_open_gates.py;v19_monodromy_moduli.py;v22_open_gates_audit.py,-,,SUPERSEDED -> FLAV.QGEO.02 + v69/v70: Q-geometry derived (D4-equivariant); residual sharpened to det Q = N_fam,false
GATE.RU.01,"RESIDUAL GATE (5.0 review, A2/B4): R derived only up to Mehta-Seshadri unitarity (U); parabolic scaffolding forced (deg E=-4, split 2+1+1 unique, det R=8); D4-fixed locus positive-dim, (U) selects stable point; keep visible, not unconditional",Physical (conditional),tfpt_2,FLAV.UFSTAR.01,v19_monodromy_moduli.py;v22_open_gates_audit.py,-,,"UPDATED -> v69/v70 + FLAV.RIGID: R selector derived (det R=8 lattice, Spec Q+ from D4); ratios rigid (v49)",false
GATE.NSTAR.01,"RESIDUAL GATE (5.0 review, B5): N_star is a reheating INPUT (observed n_s=0.9649 -> N*=57, continuous), not a compiler consequence; kept [P]",Physical (input),tfpt_2;tfpt_3,reheating,v22_open_gates_audit.py,Planck n_s,,Physical (input),true
GATE.METRIC.01,"RESIDUAL GATE (5.0 review, B6/C7): full covariant metric-sector field equation open; c3=1/8pi is the gravitational seam constant; R+R^2/scalaron (M=c3^{7/2}Mbar) is a low-curvature readout, NOT closure; boundary-kernel metric measure beyond FRW not constructed",Open,tfpt_2;tfpt_4,QG.AMB.01,v22_open_gates_audit.py,-,,Open,true
QG.G2.01,"G2 grounded: spectral-action Seeley-DeWitt for Dirac (E=-R/4, tr I=4) gives a2~-R/3 (Einstein-Hilbert) + a4~R^2/72 (R^2), i.e. R+R^2 STRUCTURE convention-independently; M^2/Mbar^2=6(4pi)^2/f0, TFPT closure c3^7 fixes f0; M=c3^{7/2}Mbar=3.06e13 GeV",Numerical (structural grounding),tfpt_research_contracts,GATE.METRIC.01; v28,v36_spectral_action_g2.py,standard Gilkey/Chamseddine-Connes,,Numerical (structural grounding),true
QG.GAPDEC.01,"SIMPLER resolution: gap decoupling. 2||V_metric||=0.785<Delta=6log(3/2)=2.433 => Delta_eff=1.648>0; admissible sector keeps positive gap under metric dressing => decoupled from un-built ambient; physical QG = closed admissible-sector measure, ambient (G6) = math completeness, gap-decoupled & inert",Physical (conditional reframe),tfpt_research_contracts,GATE.METRIC.01; G5,v36_spectral_action_g2.py,-,,Physical (conditional reframe),true
GATE.WOLFRAM.01,"second [C] path VERIFIED RUNNING: Wolfram Engine 14.3 reproduces alpha^-1, E8 glue, M=41, K/Q ladder, lepton c, solar angle, anchor generator, quark ratios, G2 heat-kernel (a2=-R/3,a4|R2=R2/72), Plucker apparatus (11,26,60 + pencil + dualities + lepton ring), (U_wall) selectors (Spec Q+, det R=8), Exterior Leg Lemma (scalar leg=>c_u/c_d=1; anchor microcode 55/117), carrier exterior grading (16=Lambda^even(5), exterior degrees (2,4)), the '11' is Pascal (||Pl(K)||_1=sum_{k<=2}C(4,k)=16-g_car; 15=dim su(4)=10+5=N_fam*g_car), Grand Mass Volume (det M_SM~u^25=u^g_car^2; K-row sums (6,9,10)), Selection Theorem (q(D5)+q(A3)=2, glue 4=|mu4|, only n=5 gives 16-spinor), EM Ward (8b1=(4/5)M=164/5, -5/4=q(D5)), Q geometry (chi Q+/Q-), Readout Rigidity (55/117 stratum-constant), delta=1/2 glue-norm 4-ops, pencil endpoints, compiler core (5,3)+Pythagorean, seam=horizon keystones (triply-8, shared (2/3)^6), Coxeter cycle (order 30, exponents=totatives), unique attractor (gap, Coxeter planes), S_dS carrier decomposition, horizon cross-links (Jacobson 8pi, Hod ln3, |W(D5)|), seam-horizon chain (one-sided Gauss-Bonnet, seam units), area-law seam units 8=|Z2||mu4|, Lambda branch 3/(4pi^2) + K5 counts, CFT bridge (WZW c=8/5/3, c_coset=0), Seam-Engineering Index Xi=31/(24pi^2 log(3/2)), E8 Casimir degrees=atoms, central-theorem closure (2pi c3=1/4, k=c3/2), Seeley-DeWitt a2 (1/G UV-sensitive), D4-equivariant Q-geometry, Q integer-lift (det Q=N_fam), simple R-bridge (det ladder (3,4,8,20), selector stratum derived => 55/117 integer Plucker), det Q=N_fam from cusp order (v72), k=c3/2 forced by variation x Gauss-Bonnet topology (v73), compiler micro-lemmas (pencil differences 2-16-48, anchor QF 41-25=16) (v74), Gate 1 U_point->v_geo (lepton product 32/9, ratios+product bijection) (v75), Gate 2 decoupling margin 6log(3/2)-31/(4pi^2)>0 (v76), G6 via E8 level-1 net (c=8/5/3, embedding) (v77), v_geo floor (S_dS rho_Lambda=32pi^4) (v78), hypercharge Lucas-Binet (1,1,7,13,55,133) + Inverse Anchor Theorem (1^T M^-1 1=1/atom, a^T M^-1 a=1) (v79), operator-pencil geometry (anchor singularity det B(K+xQ)=(3x+2)(3x+5), block-det type checker (9,10,16,40), F4xG2 shadow 52+14+26*7=248) (v80), double cover y^2=det B(K+xQ) branched at Koide -2/3 & carrier -5/3, disc=81=N_fam^4, clearing matrices C_{2/3}/C_{5/3}, branch-divisor symmetric fns = (scalaron,A_Lambda) (v81) (116/116 pass on independent engine; EE area-law is Python-only)",Numerical (second path),verification/wolfram,"mirrors v1;v2;v3;v10;v13;v16;v20;v21;v23;v24;v36;v37;v39;v42;v44;v45;v46;v47;v48;v49;v50;v51;v52;v53;v54;v55;v56;v57;v58;v59 (algebra only);v60;v61;v62 (data-confrontation, Python-only);v63;v64 (no-CTC core numerical, Python-only);v65 (falsification layer, Python-only);v66;v67;v68;v69;v70;v71;v72;v73;v74;v75;v76;v77;v78;v79;v80;v81",wolfram/tfpt_readouts.wl,-,,Numerical (second path),true
FLAV.PLUCKER.01,"anchor-plane Plucker apparatus (anti-numerology): left/right 2x2 minors of B_M=(1^T M; a^T M) and C_M=(M1 Ma) for R,Q,K,L are compiler atoms; ||Pl(K)||_1=11 (localizes the '11' in K), ||Pl_R(K)||_1=Pl(L)_13=26, sum Pl_R(L)=60=cascade start; inverse col-sums {1,5,6}; quark ratios are anchor-plane Plucker readouts. Identities [I]; physical amplitudes STAY [P]",Identity (audit layer),tfpt_2;tfpt_3,FLAV.QRATIO.01; AX anchor a,v37_plucker_anchor.py,-,,Identity (audit layer),true
FLAV.PENCIL.01,"K+xQ pencil: L=K+Q => mass and transport are one pencil P(x)=K+xQ with det(K+xQ)=3x^3+7x^2+6x+4=(N_fam, scalaron 7, |R^+(A3)|, |mu4|); chi_K=t^3-9t^2+12t-4; [K,L]=[L,Q]=[K,Q], chi_[K,Q]=t^3+5t+14 (5=g_car,14=dim G2 audit); K_e-K_u=a, L_e-L_u=Exp(A3); lepton ring c_e c_tau=|Z2| c_mu",Identity,tfpt_2;tfpt_3,v10 K=R+Q*Sigma,v37_plucker_anchor.py,-,,Identity,true
FR.KOIDE.03,"sharper Koide source->pole conjecture: multiplicative seed transfer u->(1-1/(2 N_fam^3))u=(53/54)u (54=2*3^3=|Z2| N_fam^3, no new free number) gives Q=0.66666610, dev -5.7e-7 from 2/3 (10x better than additive phi0/24); research gate: derive the leptonic seed transfer",Physical (conjecture),tfpt_4,FR.KOIDE.01; lepton c,v37_plucker_anchor.py,PDG lepton masses,FR.KOIDE.02,Physical (conjecture),true
GATE.UWALL.02,"(U_wall) U2 kill-switch HARDENED: kill-switch fires iff D4-cusp rep reducible; across 400 random cusp-class generators M_k=U^{k-1}MU^{1-k} commutant is scalar at every point (irreducible 400/400), reducible locus measure-zero (codim>=1), mixing strength >=0.35 => case A (nontrivial SU(3)_F mixing) is GENERIC not anecdotal; (U_wall) survives its cheapest falsification test. RESIDUAL: amplitude dictionary Gamma^min (Hitchin output for c_u/c_d) still research-level; R combinatorially closed",Numerical (survival hardened),tfpt_research_contracts,CONTRACT.U.01; v33,v38_uwall_killswitch.py,-,,Numerical (survival hardened),true
